Year,Destination,Jan - Residence,Feb - Residence,Mar - Residence,Apr - Residence,May - Residence,Jun - Residence,Jul - Residence,Aug - Residence,Sep - Residence,Oct - Residence,Nov - Residence,Dec - Residence,Jan - Nationality,Feb - Nationality,Mar - Nationality,Apr - Nationality,May - Nationality,Jun - Nationality,Jul - Nationality,Aug - Nationality,Sep - Nationality,Oct - Nationality,Nov - Nationality,Dec - Nationality
2003,China,34695,76621,42395,19579,6016,12449,18604,30322,34333,42711,50396,54503,0,0,0,0,0,0,0,0,0,0,0,0
2003,Japan,27659,28328,21613,8706,7242,7938,9349,11718,25311,19699,20709,25255,0,0,0,0,0,0,0,0,0,0,0,0
2003,Chinese Taipei,14934,20444,12342,4389,2531,3246,7090,7719,16887,15308,15560,16969,0,0,0,0,0,0,0,0,0,0,0,0
2003,Korea (ROK),4450,5361,4416,1816,1852,2200,2519,4429,4022,4297,6006,4878,0,0,0,0,0,0,0,0,0,0,0,0
2003,UK,10800,13139,10824,8819,6269,5658,5051,8175,11167,14282,15917,15468,0,0,0,0,0,0,0,0,0,0,0,0
2003,Sweden,3861,3636,2798,1492,981,1056,1107,929,1128,1536,2137,2899,0,0,0,0,0,0,0,0,0,0,0,0
2003,Denmark,2033,2123,1292,733,681,737,887,794,903,969,990,1292,0,0,0,0,0,0,0,0,0,0,0,0
2003,Finland,1636,1534,1385,623,397,464,458,507,660,921,1151,1305,0,0,0,0,0,0,0,0,0,0,0,0
2003,Norway,917,1132,872,481,374,379,597,361,544,652,678,869,0,0,0,0,0,0,0,0,0,0,0,0
2003,Singapore,596093,471903,383903,205065,322317,464975,465070,499044,550493,531479,651489,780475,0,0,0,0,0,0,0,0,0,0,0,0
2003,Thailand,80371,87891,92078,77199,74911,87195,88744,109884,97238,121538,109123,126124,0,0,0,0,0,0,0,0,0,0,0,0
2003,Indonesia,60502,56536,53040,29642,23998,30548,45355,29471,55753,68568,84555,83683,0,0,0,0,0,0,0,0,0,0,0,0
2003,Brunei Darussalam,22086,26672,37442,14679,14489,14405,7678,12213,13145,15404,14425,22996,0,0,0,0,0,0,0,0,0,0,0,0
2003,Philippines,8783,10434,7678,4793,4473,5193,5811,6525,7313,8714,8949,11764,0,0,0,0,0,0,0,0,0,0,0,0
2003,Vietnam,1084,2158,1833,709,491,1055,1997,1965,2384,2767,2396,2824,0,0,0,0,0,0,0,0,0,0,0,0
2003,Cambodia,682,918,484,448,534,723,609,562,829,863,993,1080,0,0,0,0,0,0,0,0,0,0,0,0
2003,South Africa,1470,975,1118,694,698,648,882,613,1148,1494,1109,1728,0,0,0,0,0,0,0,0,0,0,0,0
2003,India,12605,13147,12447,7189,6865,8184,8070,8480,15574,17946,16180,18466,0,0,0,0,0,0,0,0,0,0,0,0
2003,Iran,541,1040,1781,879,223,285,219,475,1377,1387,905,1300,0,0,0,0,0,0,0,0,0,0,0,0
2003,Poland,11436,11063,4643,1712,2316,3387,3360,2965,2635,2448,3773,5545,0,0,0,0,0,0,0,0,0,0,0,0
2003,Italy,1501,1519,1283,533,421,464,478,1183,1130,1573,1228,1559,0,0,0,0,0,0,0,0,0,0,0,0
2003,Russian Federation,1163,539,415,314,268,104,194,380,306,611,420,521,0,0,0,0,0,0,0,0,0,0,0,0
2003,USA,11820,12036,9899,4932,4554,7682,9673,9371,12329,13426,15622,19727,0,0,0,0,0,0,0,0,0,0,0,0
2003,Canada,3163,3605,3011,1388,1147,1387,1395,1534,2017,2285,2660,3386,0,0,0,0,0,0,0,0,0,0,0,0
2003,Saudi Arabia,1348,2737,1095,545,460,567,1012,2815,4693,1989,874,1942,0,0,0,0,0,0,0,0,0,0,0,0
2003,Turkey,653,953,482,180,199,354,263,226,342,424,585,530,0,0,0,0,0,0,0,0,0,0,0,0
2003,UAE,365,899,403,153,143,183,395,1089,911,418,288,800,0,0,0,0,0,0,0,0,0,0,0,0
2003,Germany,3953,4653,4844,2725,1827,1813,1600,2519,3965,4222,4518,4506,0,0,0,0,0,0,0,0,0,0,0,0
2003,Netherlands,2523,3067,2754,1810,132,1674,1825,2246,3154,2989,3286,3362,0,0,0,0,0,0,0,0,0,0,0,0
2003,France,1960,2720,2342,1091,1018,1068,1453,1887,2312,2694,2415,2885,0,0,0,0,0,0,0,0,0,0,0,0
2003,Switzerland,1323,1549,1412,923,785,662,648,846,1295,1537,1570,1925,0,0,0,0,0,0,0,0,0,0,0,0
2004,Australia,22514,16416,12199,13900,17712,15792,18717,13550,20664,19888,12162,20539,0,0,0,0,0,0,0,0,0,0,0,0
2004,New Zealand,2169,1354,1244,1537,2049,2139,2874,1856,3531,2643,1348,1111,0,0,0,0,0,0,0,0,0,0,0,0
2004,China,59050,75777,43926,46769,58573,54343,50862,63480,38893,47799,43784,49551,0,0,0,0,0,0,0,0,0,0,0,0
2004,Japan,28743,31254,24264,16212,21380,25236,24074,23172,36519,30614,17766,22195,0,0,0,0,0,0,0,0,0,0,0,0
2004,Chinese Taipei,18729,20753,9789,9560,14524,19333,21138,23729,17933,13328,9830,11437,0,0,0,0,0,0,0,0,0,0,0,0
2004,Korea (ROK),5892,6901,3394,3278,6121,7470,6631,9456,11996,10403,8982,10746,0,0,0,0,0,0,0,0,0,0,0,0
2004,UK,19800,14956,16187,15530,19483,12879,13166,19100,16285,16753,21371,18899,0,0,0,0,0,0,0,0,0,0,0,0
2004,Sweden,3798,2835,2787,2114,2461,1507,1725,1210,1269,2274,2189,1791,0,0,0,0,0,0,0,0,0,0,0,0
